Code,Description,Abbreviation
T14,Injury of unspecified body region,IBR NOS
T14.0,Superficial injury of unspecified body region Abrasion Blister (nonthermal) Bruise Contusion Haematoma NOS Injury from superficial foreign body (splinter) without major open wound Insect bite (nonvenomous) Superficial injury,SIB NOS
T14.1,Open wound of unspecified body region Animal bite Cut Laceration NOS Open wound Puncture wound with (penetrating) foreign body,OWB NOS
T14.2,Fracture of unspecified body region Fracture: • NOS • closed NOS • dislocated NOS • displaced NOS • open NOS,FBR NOS
T14.3,"Dislocation, sprain and strain of unspecified body region Avulsion Laceration Sprain Strain joint Traumatic: of (capsule) NOS • haemarthrosis ligament • rupture • subluxation • tear",DSS NOS
T14.4,Injury of nerve(s) of unspecified body region Injury of nerve Traumatic: • division of nerve NOS • haematomyelia • paralysis (transient),INB NOS
T14.5,Injury of blood vessel(s) of unspecified body region Avulsion Cut Injury Laceration of blood vessel(s) NOS Traumatic: • aneurysm or fistula (arteriovenous) • arterial haematoma • rupture,IBV NOS
T14.6,Injury of muscles and tendons of unspecified body region Avulsion Cut Injury Laceration of muscle(s) NOS and tendon(s) NOS Sprain Strain Traumatic rupture,IMT NOS
T14.7,Crushing injury and traumatic amputation of unspecified body region Crushing injury NOS Traumatic amputation NOS,CIT NOS
T14.8,Other injuries of unspecified body region,IBR NOS
T14.9,"Injury, unspecified",INJU NOS
T15,Foreign body on external eye,FBO
T15.0,Foreign body in cornea,FBI
T15.1,Foreign body in conjunctival sac,FBI
T15.8,Foreign body in other and multiple parts of external eye Foreign body in lacrimal punctum,FBI
T15.9,"Foreign body on external eye, part unspecified",FBO NOS
T15–T19,Effects of foreign body entering through natural orifice,EFB
T16,Foreign body in ear,FBI
T17,Foreign body in respiratory tract,FBI
T17.0,Foreign body in nasal sinus,FBI
T17.1,Foreign body in nostril Nose NOS,FBI NOS
T17.2,Foreign body in pharynx Nasopharynx Throat NOS,FBI NOS
T17.3,Foreign body in larynx,FBI
T17.4,Foreign body in trachea,FBI
T17.5,Foreign body in bronchus,FBI
T17.8,Foreign body in other and multiple parts of respiratory tract Bronchioles Lung,FBI
T17.9,"Foreign body in respiratory tract, part unspecified",FBI NOS
T18,Foreign body in alimentary tract,FBI
T18.0,Foreign body in mouth,FBI
T18.1,Foreign body in oesophagus,FBI
T18.2,Foreign body in stomach,FBI
T18.3,Foreign body in small intestine,FBI
T18.4,Foreign body in colon,FBI
T18.5,Foreign body in anus and rectum Rectosigmoid (junction),FBI
T18.8,Foreign body in other and multiple parts of alimentary tract,FBI
T18.9,"Foreign body in alimentary tract, part unspecified Digestive system NOS Swallowed foreign body NOS",FBI NOS
T19,Foreign body in genitourinary tract,FBI
T19.0,Foreign body in urethra,FBI
T19.1,Foreign body in bladder,FBI
T19.2,Foreign body in vulva and vagina,FBI
T19.3,Foreign body in uterus [any part],FBI
T19.8,Foreign body in other and multiple parts of genitourinary tract,FBI
T19.9,"Foreign body in genitourinary tract, part unspecified",FBI NOS
T20,Burn and corrosion of head and neck,BCH
T20.0,Burn of unspecified degree of head and neck,BDH NOS
T20.1,Burn of first degree of head and neck,BFD
T20.2,Burn of second degree of head and neck,BSD
T20.3,Burn of third degree of head and neck,BTD
T20.4,Corrosion of unspecified degree of head and neck,CDH NOS
T20.5,Corrosion of first degree of head and neck,CFD
T20.6,Corrosion of second degree of head and neck,CSD
T20.7,Corrosion of third degree of head and neck,CTD
T20–T25,"Burns and corrosions of external body surface, specified by site",BCE
T20–T31,burns (electric),BURN
T20–T32,"burns and corrosions from local applications and irradiation complications of surgical procedures during pregnancy, childbirth and the",BCF
T21,Burn and corrosion of trunk,BCT
T21.0,Burn of unspecified degree of trunk,BDT NOS
T21.1,Burn of first degree of trunk,BFD
T21.2,Burn of second degree of trunk,BSD
T21.3,Burn of third degree of trunk,BTD
T21.4,Corrosion of unspecified degree of trunk,CDT NOS
T21.5,Corrosion of first degree of trunk,CFD
T21.6,Corrosion of second degree of trunk,CSD
T21.7,Corrosion of third degree of trunk,CTD
T22,"Burn and corrosion of shoulder and upper limb, except wrist and hand",BCS
T22.0,"Burn of unspecified degree of shoulder and upper limb, except wrist and hand",BDS NOS
T22.1,"Burn of first degree of shoulder and upper limb, except wrist and hand",BFD
T22.2,"Burn of second degree of shoulder and upper limb, except wrist and hand",BSD
T22.3,"Burn of third degree of shoulder and upper limb, except wrist and hand",BTD
T22.4,"Corrosion of unspecified degree of shoulder and upper limb, except wrist and hand",CDS NOS
T22.5,"Corrosion of first degree of shoulder and upper limb, except wrist and hand",CFD
T22.6,"Corrosion of second degree of shoulder and upper limb, except wrist and hand",CSD
T22.7,"Corrosion of third degree of shoulder and upper limb, except wrist and hand",CTD
T23,Burn and corrosion of wrist and hand,BCW
T23.0,Burn of unspecified degree of wrist and hand,BDW NOS
T23.1,Burn of first degree of wrist and hand,BFD
T23.2,Burn of second degree of wrist and hand,BSD
T23.3,Burn of third degree of wrist and hand,BTD
T23.4,Corrosion of unspecified degree of wrist and hand,CDW NOS
T23.5,Corrosion of first degree of wrist and hand,CFD
T23.6,Corrosion of second degree of wrist and hand,CSD
T23.7,Corrosion of third degree of wrist and hand,CTD
T24,"Burn and corrosion of hip and lower limb, except ankle and foot",BCH
T24.0,"Burn of unspecified degree of hip and lower limb, except ankle and foot",BDH NOS
T24.1,"Burn of first degree of hip and lower limb, except ankle and foot",BFD
T24.2,"Burn of second degree of hip and lower limb, except ankle and foot",BSD
T24.3,"Burn of third degree of hip and lower limb, except ankle and foot",BTD
T24.4,"Corrosion of unspecified degree of hip and lower limb, except ankle and foot",CDH NOS
T24.5,"Corrosion of first degree of hip and lower limb, except ankle and foot",CFD
T24.6,"Corrosion of second degree of hip and lower limb, except ankle and foot",CSD
T24.7,"Corrosion of third degree of hip and lower limb, except ankle and foot",CTD
T25,Burn and corrosion of ankle and foot,BCA
T25.0,Burn of unspecified degree of ankle and foot,BDA NOS
T25.1,Burn of first degree of ankle and foot,BFD
T25.2,Burn of second degree of ankle and foot,BSD
T25.3,Burn of third degree of ankle and foot,BTD
T25.4,Corrosion of unspecified degree of ankle and foot,CDA NOS
T25.5,Corrosion of first degree of ankle and foot,CFD
T25.6,Corrosion of second degree of ankle and foot,CSD
T25.7,Corrosion of third degree of ankle and foot Burns and corrosions confined to eye and internal organs (T26–T28),CTD
T26,Burn and corrosion confined to eye and adnexa,BCC
T26.0,Burn of eyelid and periocular area,BEP
T26.1,Burn of cornea and conjunctival sac,BCC
T26.2,Burn with resulting rupture and destruction of eyeball,BRR
T26.3,Burn of other parts of eye and adnexa,BPE
T26.4,"Burn of eye and adnexa, part unspecified",BEA NOS
T26.5,Corrosion of eyelid and periocular area,CEP
T26.6,Corrosion of cornea and conjunctival sac,CCC
T26.7,Corrosion with resulting rupture and destruction of eyeball,CRR
T26.8,Corrosion of other parts of eye and adnexa,CPE
T26.9,"Corrosion of eye and adnexa, part unspecified",CEA NOS
T26–T28,Burns and corrosions confined to eye and internal organs,BCC
T27,Burn and corrosion of respiratory tract,BCR
T27.0,Burn of larynx and trachea,BLT
T27.1,Burn involving larynx and trachea with lung,BIL
T27.2,Burn of other parts of respiratory tract Thoracic cavity,BPR
T27.3,"Burn of respiratory tract, part unspecified",BRT NOS
T27.4,Corrosion of larynx and trachea,CLT
T27.5,Corrosion involving larynx and trachea with lung,CIL
T27.6,Corrosion of other parts of respiratory tract,CPR
T27.7,"Corrosion of respiratory tract, part unspecified",CRT NOS
T28,Burn and corrosion of other internal organs,BCI
T28.0,Burn of mouth and pharynx,BMP
T28.1,Burn of oesophagus,BO
T28.2,Burn of other parts of alimentary tract,BPA
T28.3,Burn of internal genitourinary organs,BIG
T28.4,Burn of other and unspecified internal organs,BIO NOS
T28.5,Corrosion of mouth and pharynx,CMP
T28.6,Corrosion of oesophagus,CO
T28.7,Corrosion of other parts of alimentary tract,CPA
T28.8,Corrosion of internal genitourinary organs,CIG
T28.9,Corrosion of other and unspecified internal organs Burns and corrosions of multiple and unspecified body regions (T29–T32),CIO NOS
T29,Burns and corrosions of multiple body regions,BCM
T29.0,"Burns of multiple regions, unspecified degree Multiple burns NOS",BMR NOS
T29.1,"Burns of multiple regions, no more than first-degree burns mentioned",BMR
T29.2,"Burns of multiple regions, no more than second-degree burns mentioned",BMR
T29.3,"Burns of multiple regions, at least one burn of third degree mentioned",BMR
T29.4,"Corrosions of multiple regions, unspecified degree Multiple corrosions NOS",CMR NOS
T29.5,"Corrosions of multiple regions, no more than first-degree corrosions mentioned",CMR
T29.6,"Corrosions of multiple regions, no more than second-degree corrosions mentioned",CMR
T29.7,"Corrosions of multiple regions, at least one corrosion of third degree mentioned",CMR
T29–T32,Burns and corrosions of multiple and unspecified body regions,BCM NOS
T30,"Burn and corrosion, body region unspecified",BCB NOS
T30.0,"Burn of unspecified body region, unspecified degree Burn NOS",BBR NOS
T30.1,"Burn of first degree, body region unspecified First-degree burn NOS",BFD NOS
T30.2,"Burn of second degree, body region unspecified Second-degree burn NOS",BSD NOS
T30.3,"Burn of third degree, body region unspecified Third-degree burn NOS",BTD NOS
T30.4,"Corrosion of unspecified body region, unspecified degree Corrosion NOS",CBR NOS
T30.5,"Corrosion of first degree, body region unspecified First-degree corrosion NOS",CFD NOS
T30.6,"Corrosion of second degree, body region unspecified Second-degree corrosion NOS",CSD NOS
T30.7,"Corrosion of third degree, body region unspecified Third-degree corrosion NOS",CTD NOS
T31,Burns classified according to extent of body surface involved,BCA
T31.0,Burns involving less than 10% of body surface,BIL
T31.1,Burns involving 10–19% of body surface,BI1
T31.2,Burns involving 20–29% of body surface,BI2
T31.3,Burns involving 30–39% of body surface,BI3
T31.4,Burns involving 40–49% of body surface,BI4
T31.5,Burns involving 50–59% of body surface,BI5
T31.6,Burns involving 60–69% of body surface,BI6
T31.7,Burns involving 70–79% of body surface,BI7
T31.8,Burns involving 80–89% of body surface,BI8
T31.9,Burns involving 90% or more of body surface,BI9
T31–T32,involved,INVO
T32,Corrosions classified according to extent of body surface involved,CCA
T32.0,Corrosions involving less than 10% of body surface,CIL
T32.1,Corrosions involving 10–19% of body surface,CI1
T32.2,Corrosions involving 20–29% of body surface,CI2
T32.3,Corrosions involving 30–39% of body surface,CI3
T32.4,Corrosions involving 40–49% of body surface,CI4
T32.5,Corrosions involving 50–59% of body surface,CI5
T32.6,Corrosions involving 60–69% of body surface,CI6
T32.7,Corrosions involving 70–79% of body surface,CI7
T32.8,Corrosions involving 80–89% of body surface,CI8
T32.9,Corrosions involving 90% or more of body surface Frostbite (T33–T35),CI9
T33,Superficial frostbite,SF
T33.0,Superficial frostbite of head,SFH
T33.1,Superficial frostbite of neck,SFN
T33.2,Superficial frostbite of thorax,SFT
T33.3,"Superficial frostbite of abdominal wall, lower back and pelvis",SFA
T33.4,Superficial frostbite of arm,SFA
T33.5,Superficial frostbite of wrist and hand,SFW
T33.6,Superficial frostbite of hip and thigh,SFH
T33.7,Superficial frostbite of knee and lower leg,SFK
T33.8,Superficial frostbite of ankle and foot,SFA
T33.9,Superficial frostbite of other and unspecified sites Superficial frostbite (of): • NOS • leg NOS • trunk NOS,SFS NOS
T33–T35,frostbite,FROS
T34,Frostbite with tissue necrosis,FTN
T34.0,Frostbite with tissue necrosis of head,FTN
T34.1,Frostbite with tissue necrosis of neck,FTN
T34.2,Frostbite with tissue necrosis of thorax,FTN
T34.3,"Frostbite with tissue necrosis of abdominal wall, lower back and pelvis",FTN
T34.4,Frostbite with tissue necrosis of arm,FTN
T34.5,Frostbite with tissue necrosis of wrist and hand,FTN
T34.6,Frostbite with tissue necrosis of hip and thigh,FTN
T34.7,Frostbite with tissue necrosis of knee and lower leg,FTN
T34.8,Frostbite with tissue necrosis of ankle and foot,FTN
T34.9,Frostbite with tissue necrosis of other and unspecified sites Frostbite with tissue necrosis (of): • NOS • leg NOS • trunk NOS,FTN NOS
T35,Frostbite involving multiple body regions and unspecified frostbite,FIM NOS
T35.0,Superficial frostbite involving multiple body regions Multiple superficial frostbite NOS,SFI NOS
T35.1,Frostbite with tissue necrosis involving multiple body regions Multiple frostbite with tissue necrosis NOS,FTN NOS
T35.2,Unspecified frostbite of head and neck,FHN NOS
T35.3,"Unspecified frostbite of thorax, abdomen, lower back and pelvis Frostbite of trunk NOS",FTA NOS
T35.4,Unspecified frostbite of upper limb,FUL NOS
T35.5,Unspecified frostbite of lower limb,FLL NOS
T35.6,Unspecified frostbite involving multiple body regions Multiple frostbite NOS,FIM NOS
T35.7,"Unspecified frostbite of unspecified site Frostbite NOS Poisoning by drugs, medicaments and biological substances (T36–T50)",FSF NOS
T36,Poisoning by systemic antibiotics,PBS
T36.0,Penicillins,PENI
T36.1,Cefalosporins and other beta-lactam antibiotics,CBA
T36.2,Chloramphenicol group,CG
T36.3,Macrolides,MACR
T36.4,Tetracyclines,TETR
T36.5,Aminoglycosides Streptomycin,AS
T36.6,Rifamycins,RIFA
T36.7,"Antifungal antibiotics, systemically used",AAS
T36.8,Other systemic antibiotics,SA
T36.9,"Systemic antibiotic, unspecified",SA NOS
