Code,Description,Abbreviation
A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess Gonococcal: • cervicitis NOS • cystitis NOS • urethritis NOS • vulvovaginitis NOS,GIL NOS
A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess Gonococcal Bartholin gland abscess,GIL
A54.2,Gonococcal pelviperitonitis and other gonococcal genitourinary infections Gonococcal: • epididymitis† (N51.1*) • female pelvic inflammatory disease† (N74.3*) • orchitis† (N51.1*) • prostatitis† (N51.0*),GPG
A54.3,Gonococcal infection of eye Gonococcal: • conjunctivitis† (H13.1*) • iridocyclitis† (H22.0*) Ophthalmia neonatorum due to gonococcus,GIE
A54.4†,Gonococcal infection of musculoskeletal system Gonococcal: • arthritis (M01.3*) • bursitis (M73.0*) • osteomyelitis (M90.2*) • synovitis (M68.0*) • tenosynovitis (M68.0*),GIM NOS
A54.5,Gonococcal pharyngitis,GP
A54.6,Gonococcal infection of anus and rectum,GIA
A54.8,Other gonococcal infections Gonococcal: • brain abscess† (G07*) • endocarditis† (I39.8*) • meningitis† (G01*) • myocarditis† (I41.0*) • pericarditis† (I32.0*) • peritonitis† (K67.1*) • pneumonia† (J17.0*) • sepsis • skin lesions,GIG
A54.9,"Gonococcal infection, unspecified",GI NOS
A55,Chlamydial lymphogranuloma (venereum),CL
A55–A56,sexually transmitted chlamydial diseases,STC
A56,Other sexually transmitted chlamydial diseases,STC
A56.0,Chlamydial infection of lower genitourinary tract Chlamydial: • cervicitis • cystitis • urethritis • vulvovaginitis,CIL
A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs Chlamydial: • epididymitis† (N51.1*) • female pelvic inflammatory disease† (N74.4*) • orchitis† (N51.1*),CIP
A56.2,"Chlamydial infection of genitourinary tract, unspecified",CIG NOS
A56.3,Chlamydial infection of anus and rectum,CIA
A56.4,Chlamydial infection of pharynx,CIP
A56.8,Sexually transmitted chlamydial infection of other sites,STC
A57,Chancroid,CHAN
A58,Granuloma inguinale,GI
A59,Trichomoniasis,TRIC
A59.0,Urogenital trichomoniasis Leukorrhoea (vaginalis) due to Trichomonas (vaginalis) Prostatitis† (N51.0*),UTL
A59.8,Trichomoniasis of other sites,TS
A59.9,"Trichomoniasis, unspecified",TRIC NOS
A60,Anogenital herpesviral [herpes simplex] infection,AHI
A60.0,Herpesviral infection of genitalia and urogenital tract Herpesviral infection of genital tract: • female† (N77.0-N77.1*) • male† (N51.-*),HIG
A60.1,Herpesviral infection of perianal skin and rectum,HIP
A60.9,"Anogenital herpesviral infection, unspecified",AHI NOS
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",PST
A63.0,Anogenital (venereal) warts,AW
A63.8,Other specified predominantly sexually transmitted diseases,PST
A64,Unspecified sexually transmitted disease,STD NOS
A65,Nonvenereal syphilis,NS
A65–A69,Other spirochaetal diseases,SD
A66,Yaws,YAWS
A66.0,"Initial lesions of yaws Chancre of yaws Framboesia, initial or primary Initial framboesial ulcer Mother yaw",ILY
A66.1,Multiple papillomata and wet crab yaws Framboesioma Pianoma Plantar or palmar papilloma of yaws,MPW
A66.2,"Other early skin lesions of yaws Cutaneous yaws, less than five years after infection Early yaws (cutaneous)(macular)(maculopapular)(micropapular)(papular) Framboeside of early yaws",ESL
A66.3,"Hyperkeratosis of yaws Ghoul hand Hyperkeratosis, palmar or plantar (early)(late) due to yaws Worm-eaten soles",HYG
A66.4,Gummata and ulcers of yaws Gummatous framboeside Nodular late yaws (ulcerated),GUY
A66.5,Gangosa Rhinopharyngitis mutilans,GRM
